dataTag,preLoad,xy1,xy2,xy3,xy4,xy5,xy6,xy7,xy8,xy9,xy10,xy11,xy12,xy13,xy14,xy15,xy16,xy17,xy18,xy19,xy20,xy21,xy22,xy23,xy24,xy25,xy26,xy27,xy28,xy29,xy30,xy31,xy32,xy33,xy34,xy35,xy36,xy37,xy38,xy39,xy40,xy41,xy42,xy43,xy44,xy45,xy46,xy47,xy48,xy49,xy50,xy51,xy52,xy53,xy54,xy55,xy56,xy57,xy58,xy59,xy60,xy61,xy62,xy63,xy64,xy65,xy66,xy67,xy68,xy69,xy70,xy71,xy72,xy73,xy74,xy75,xy76,xy77,xy78,xy79,xy80,xy81,xy82,xy83,xy84,xy85,xy86,xy87,xy88,xy89,xy90,xy91,xy92,xy93,xy94,xy95,xy96,xy97,xy98,xy99,xy100,xy101,xy102,xy103,xy104,xy105,xy106,xy107,xy108,xy109,xy110,xy111,xy112,xy113,xy114,xy115,xy116,xy117,xy118,xy119,xy120,xy121,xy122,xy123,xy124,xy125,xy126,xy127,xy128,xy129,xy130,xy131,xy132,xy133,xy134,xy135,xy136,xy137,xy138,xy139,xy140,xy141,xy142,xy143,xy144,xy145,xy146,xy147,xy148,xy149,xy150
attar2014investigating_linear_b_1_tuff,14,0.04218784693953082,0.14213623599761374,0.24230573479549117,0.3434931742285309,0.4417438746890558,0.5399557014555295,0.6363443019282333,0.7296243836185295,0.8281715668246316,0.9355174049017864,1.035253021605658,1.1305795302591837,1.2186975166642742,1.3174038542100643,1.4271102866516123,1.5352928566653852,1.618228780923055,1.7280361209817339,1.8315273644523842,1.9359273747758396,2.0124494630130427,2.127814629557183,2.217462380888751,2.31635868164096,2.4167022828380347,2.520837855706933,2.6184246911582623,2.7031096393451275,2.788398934151278,2.8714215823005036,2.99288259027763,3.0992643826382578,3.197897661313997,3.28831331732054,3.386110447415703,3.484480704014974,3.588677610083175,3.696650785073975,3.7821300502304087,3.879999717693538,3.9804399996619138,4.067849826242435,4.2038504637742085,4.285048274688293,4.419427970869628,4.531045411264656,4.642774062782803,4.745705670490331,4.817668127683172,4.933689044967695,5.0661315487902225,5.166605982001243,5.26396056114152,5.34671382060253,5.417730537784279,5.511494567217271,5.639198035152361,5.724750929973592,5.848476070681842,5.9547721245279135,6.0448965437664635,6.1390395794825885,6.2389879685406715,6.346787256787674,6.469735637644125,6.6032744795815566,6.74176186693959,6.875733101257063,6.964653955837129,7.069302935839514,7.18576110883844,7.304363019859156,7.464498320564928,7.630119860879323,7.751431732655141,7.855719848455572,7.959876590737153,8.022622545616105,8.107919148684596,8.26772022540204,8.411355970275423,8.56416758360981,8.629380240489015,8.779244631587417,8.904154904355835,9.009626757019758,9.02646328035221,9.199325500920361,9.341286812260012,9.438696445113225,9.66380212426011,9.813523586996567,9.911469278747765,10.11124343957939,10.2320594852119,10.396371967247077,10.563340328663864,10.724927928733454,10.887583756526839,11.046048937878448,11.172795569506128,11.369543233712703,11.568131682402392,11.67977982569683,11.874196455312998,12.13065634632553,12.260216010916286,12.419738156261062,12.616067121446426,12.796638766856036,12.900220137317003,13.012073185209765,13.284293279511658,13.45780136653997,13.732906775065368,13.90422022523035,14.024684336252987,14.145148447275623,14.265612558298262,14.386076669320898,14.486228061439412,14.549536213980318,14.566218263394754,14.558961319717495,14.564939092364257,14.507820309281623,14.413652041437263,14.289461490123182,14.161532141775808,13.951181613064112,13.791545382208893,13.58247675119777,13.325683691125365,12.937430697355866,12.608954505256914,12.20859187380584,11.838338324964743,11.491698508127369,11.095582466956477,10.741085107160325,10.320915174356024,9.921149528308016,9.479870595408698,8.992631671335818,8.482522337123715,8.009438373131204,7.5784341683418175,7.040529989909154,6.634570140122186,6.248908296943231
attar2014investigating_linear_b_2_tuff,14,0.05102419671365991,0.16026990879558292,0.2689423280325269,0.3794826184155328,0.4872631938111852,0.5938065982377013,0.6944889252729342,0.804680511272875,0.9120198230300615,1.015019066181822,1.1026610267188444,1.2084737225724502,1.3080930507455233,1.4146479580581326,1.5186695847759961,1.6161042126252891,1.7312338116940442,1.8435560391186359,1.9355517726224303,2.022513729370283,2.124259998215872,2.223498066829978,2.3289848878523727,2.4293677327519423,2.5248589980365344,2.630129815399232,2.7298972003162625,2.8292680325036765,2.922934243433425,3.02326179095792,3.1343311403813896,3.238024684607757,3.368643132223288,3.444912350002842,3.5366093452585865,3.639063451221733,3.7332955997434163,3.862543055066369,3.951794754812856,4.057711475802994,4.136576621521021,4.199384607634919,4.29341785797761,4.416678050355316,4.522506242132592,4.65579892190894,4.731232905759342,4.813364809728778,4.914790965536936,5.016217121345092,5.122792711479045,5.238133777052028,5.350318696683405,5.4380584164365855,5.539786435803696,5.641514455170806,5.782604708908533,5.849277424545985,5.9800617842184,6.084322239064405,6.186653985549421,6.288985732034438,6.403274864073494,6.524264658864937,6.65881103088808,6.777348856239689,6.872035680774374,6.977525784761529,7.108631083645325,7.207564723113203,7.29766771873399,7.4212400256081565,7.582020310964158,7.650010348082146,7.75415327592088,7.858296203759613,7.962439131598345,8.06658205943708,8.193812192886197,8.313803498753654,8.403297830903867,8.519191290579908,8.688124379517024,8.818881949559673,8.947223154225643,9.092899607646453,9.230594691928456,9.345611633593741,9.490924112395136,9.63322243408619,9.789210028518076,9.948237540803671,10.111132279667018,10.273189391915173,10.422445735448681,10.56009583263018,10.696615209924362,10.826069990625859,10.94718610368401,11.113147369835355,11.251851965795813,11.391093433186626,11.600811869383755,11.752484150002248,11.957344182663036,12.128432572074924,12.322940081347095,12.535494112165283,12.738172908378306,12.914386394020136,13.099473877854868,13.292873029994166,13.451671661651853,13.647102007892512,13.82510847206467,13.98062003645347,14.131938581302503,14.251740996380024,14.341278932072935,14.400633626021104,14.41956053266889,14.412281704157156,14.356826345807924,14.293709567654954,14.195529059437387,14.086285255743231,14.012544890022136,13.87047169524348,13.683242340721419,13.523759025993044,13.26133694033337,12.947260819201514,12.6799927033458,12.405782437934873,12.019547002460383,11.612430418100805,11.25804674221606,10.895727289847885,10.601699294117607,10.115131353873553,9.732232275729052,9.360711785072505,8.982275820727637,8.590254491339833,8.100325378091194,7.69841939436594,7.273135600011476,6.825548097698164,6.39362312964135,5.955255704420329
attar2014investigating_linear_b_3_tuff,14,0.05421691874271233,0.1432332588216602,0.2332308640430637,0.31802176022735784,0.40656757580337244,0.496353219508202,0.588082537803567,0.6723238992937808,0.7703058837727711,0.8604886404866819,0.9498381201747496,1.0384507743319091,1.1357641443144675,1.2274928809832755,1.3229723631520947,1.4072273947729925,1.4912574114553496,1.5871717249827535,1.699686267705709,1.7968832194885616,1.878433341618851,1.954455158232555,2.0524945762442854,2.160868311940043,2.262429839692419,2.3506434845588324,2.43769281918496,2.543904719311854,2.654394017066188,2.7706296695858224,2.871477700331677,2.957005275474714,3.052066190992377,3.1492859741534396,3.2477155886418965,3.3503936716705853,3.453505633470457,3.557124441523021,3.6410678003530794,3.731936981982385,3.814677931119736,3.919606433730479,4.025018823375247,4.119515623044438,4.233423451399602,4.310766414831177,4.380745261361593,4.497502821721201,4.591999621390392,4.689190008449456,4.807935879392102,4.913544450700562,5.020816532351145,5.130132019729723,5.253091129808847,5.363098068689452,5.486973930932445,5.6142941721335795,5.742542208458417,5.824836506956727,5.913877289275753,6.0303508088216935,6.110870931856224,6.2478858337589,6.375932872784675,6.499647412944762,6.6100929392906815,6.714875240322194,6.819309936174089,6.902042938609679,6.9924634182179375,7.108030111381231,7.224088690824632,7.345409067604515,7.504214914235201,7.647549917137357,7.701599426917347,7.801447679262807,7.931416512595206,8.066514532857571,8.253584863918288,8.400956954711898,8.542603060944025,8.653705790059373,8.80668845762709,8.966627575228072,9.11672387724085,9.245097474744453,9.381077607386157,9.558783593413375,9.704749427423772,9.826246522723803,9.97231251085699,10.142721071940688,10.283802890535055,10.38054870974486,10.563839794853516,10.727727363000394,10.907481973330936,11.070672308785534,11.232959967190425,11.377806282346233,11.514106193791148,11.672470887146075,11.861610039367186,12.058530051006311,12.257031854445323,12.457115449684213,12.631013141292181,12.805770519710833,12.995574522533675,13.17462959750337,13.324021956075596,13.5382055913989,13.7719773587607,13.975330161595437,14.131986716258885,14.266161640597462,14.387478486857113,14.482008732856734,14.543284179864887,14.57156015802634,14.515902734251599,14.489450839834836,14.482932144069274,14.3816024271858,14.247498309771276,14.124706271017233,14.008695636277215,13.659159127747223,13.468853646875525,13.18495347588102,12.836343720611573,12.595685822236648,12.137219685658465,11.798619731681605,11.38543771251396,11.048804057557287,10.640713871963985,10.135341786408693,9.757861233390948,9.327053377012229,8.912832114586351,8.470813055262305,7.97971019329742,7.477569578790273,7.023814629205772,6.551374593862937,6.141250666791685,5.736962831195581
attar2014investigating_plastic_a_1_sandstone,19,6.116756205318001,6.221034277474859,6.293438126940558,6.377702476564931,6.464684566980574,6.551666657396217,6.63864874781186,6.744323740310437,6.857526325138243,6.961774279911455,7.049540254319496,7.137306228727536,7.225072203135578,7.312838177543618,7.400604151951658,7.490876352222155,7.615305437740573,7.725059461436949,7.809537477427248,7.902358568377896,8.021602644758614,8.10913261896392,8.178339720227253,8.263651558370249,8.379800977084754,8.490565544991808,8.57963799272051,8.668710440449212,8.757782888177916,8.829328815418924,8.886999624498706,8.950195304391862,9.060241408839165,9.149150142374626,9.255526962818589,9.340471646286096,9.426226573181479,9.53139224685631,9.620203399920879,9.70901455298545,9.79782570605002,9.886636859114589,10.000013499127498,10.113692699925611,10.227198328189477,10.341128341075619,10.455482738584047,10.570261520714759,10.662899491493517,10.753017117878748,10.828294174198252,10.901551574471428,11.026342502127124,11.169500085473818,11.301059290315456,11.391960800693084,11.482862311070715,11.585994546379105,11.692194321064013,11.734526116502742,11.79607530011028,11.878619412912125,12.018989484079245,12.119172883714123,12.202242205558312,12.26672442125025,12.383085251131675,12.482778925224641,12.555465696543944,12.603234707075051,12.707111852100859,12.809458277274727,12.917569358013187,13.049300332579348,13.200809800965681,13.347097485070686,13.453825169747692,13.569097359362273,13.717868267183112,13.846716377170646,13.939446950197203,14.05298985325239,14.250721776725044,14.402116105541142,14.533125869341088,14.672290369977958,14.822599263735905,14.940112032908532,15.09862257675612,15.227796020555944,15.297719849684384,15.431527516614153,15.583546254322851,15.699721636469949,15.79584904013023,15.915532270057076,16.075021959578276,16.171671952566815,16.26832194555536,16.364971938543906,16.46162193153245,16.565697079442856,16.706529843357853,16.868861721302782,17.015134518947928,17.170338468488715,17.3274234028944,17.462504964036658,17.56098401967413,17.689534177093112,17.84307630726462,17.99855661466373,18.0978195542936,18.233731631174177,18.369217490582997,18.505252202031706,18.644642880978527,18.784457944547626,18.859587305911383,18.924023677951322,18.983957184062785,19.002509571465854,19.02021318962436,19.029694348867842,19.033881247018332,19.029611450114142,18.946044777252904,18.837252192688553,18.733549838134103,18.592352113116466,18.389437530141855,18.175084190068382,17.794456340929298,17.460684039765038,17.172258021496457,16.781306555007436,16.461420514264347,16.12964278778423,15.423820513033268,15.059566902093486,14.444007882299449,14.071686207755171,13.472531711414222,12.923220141736055,12.30675020031132,11.666894640281637,10.901672845279439,10.418898405479242,9.89086362491035,9.220167876053505
attar2014investigating_plastic_a_2_sandstone,19,7.018481323257514,7.140532862515705,7.25856411860591,7.367130524905522,7.446665314385869,7.536182683001181,7.633771301439817,7.724559374586737,7.806825046293106,7.914788185033846,8.003518491749194,8.08841759241248,8.17973253555672,8.278131704553793,8.34794491694692,8.422069148396583,8.518466294633594,8.610603527108319,8.685270933453536,8.783549937919599,8.876700941464467,8.949796289423913,9.039283484463956,9.132226152718616,9.212623664793016,9.284037563229791,9.368022538284807,9.46651196800224,9.57293237634283,9.640808620336268,9.737824398523847,9.828805621009158,9.919605793001933,10.002915553769471,10.099518012546886,10.196281145478768,10.296716765456129,10.396589269966125,10.49533929045276,10.595348481415417,10.676073082214545,10.73465291979433,10.831037084842666,10.921540000603683,11.005776613119378,11.088127521137773,11.175030044080769,11.276313467444572,11.363987657609535,11.42960540131824,11.503636456414856,11.579888420902076,11.66165799075984,11.735175029720343,11.822815016509727,11.910334736406064,11.99242502403132,12.073917637617718,12.158272444080751,12.241465752377005,12.315350361602455,12.388511125554569,12.480313922475013,12.560559524012845,12.66827778635615,12.740362687153212,12.83749786887999,12.925759430071297,13.009082683664934,13.084580352023464,13.151055573813917,13.241608263476554,13.353869347244277,13.44182937540973,13.511439759930541,13.589728208539592,13.682821802620875,13.751722321925476,13.818267641011138,13.891851517476393,13.98075442007351,14.068511973678826,14.140315743696243,14.197965978813505,14.269998530436068,14.351223404481885,14.420560093248511,14.466548065466077,14.530369021454325,14.599127169519102,14.674997214607645,14.685383557654548,14.757996749879707,14.836538826474955,14.895877738092624,14.94349917483474,14.9765820126624,15.053869341678702,15.143204375259991,15.197494915789331,15.231840610881887,15.299691685199896,15.383817112503728,15.448774505348927,15.513219388063758,15.576380457227726,15.629853556132238,15.682615701892232,15.74181381246174,15.795403843366765,15.83889689669597,15.880588764954952,15.936119690276657,15.994439229376221,16.042857887217785,16.077283697892828,16.113309114814435,16.150471176005475,16.18710706953941,16.220557661283,16.235962353010187,16.233849978019425,16.2406507046681,16.236082314982053,16.212996642365148,16.209100197485725,16.192872402722998,16.189054546266913,16.187574706354766,16.18674609231597,16.197647353587996,16.198331977444514,16.162341782999977,16.096107825139576,16.07315195802945,16.06057833178423,16.041150100391757,16.00008265488889,15.91995830636533,15.85030611982684,15.789323976091351,15.674571691969478,15.541278739402957,15.403740782078762,15.23654166634929,15.097845874120484,14.923571048560081,14.781991058852666,14.575804701693801,14.313171333945084
attar2014investigating_plastic_b_1_tuff,35,0.2038585563514606,0.4613210390015281,0.7097225675272374,0.964916617319396,1.2082587596651142,1.4642721344111138,1.72504133874953,1.9771873074982018,2.222550685126945,2.4661120056805643,2.70565224303014,2.953362222565277,3.1935047325381385,3.4393763639687065,3.703194236699339,3.9422330362331968,4.17343538944947,4.410202075888894,4.6558656969868215,4.880908096965988,5.109003932395904,5.336796381061078,5.563163734793808,5.800870078594814,6.049531846377238,6.3075793035841645,6.57862291051581,6.843096504735141,7.034625213357934,7.250001679297847,7.4738376632998165,7.714764769035083,7.906243108477995,8.166054170742083,8.424856841780947,8.687045899239463,8.950440818726982,9.176169365187059,9.417277324028552,9.68239269538654,9.925906393565947,10.169354716554139,10.37298030995464,10.625384741093672,10.836040953070501,11.083559786404232,11.333138132755673,11.575443505870679,11.812207204765413,12.033383334893083,12.296907142160325,12.430489007859002,12.696395323306826,12.996955343748958,13.210479842427457,13.479783356409397,13.723748015170104,13.944016413477737,14.154211141814464,14.36163814952122,14.60504131344877,14.88290102489113,15.070179048413447,15.292366460054273,15.584705826402617,15.877694555130445,16.154500128333897,16.429576411157722,16.705630721557593,16.982663059533518,17.198038741337793,17.38010555495699,17.59149038602472,17.81677300757641,18.018462287575687,18.245491014989064,18.560108561575095,18.844604699320854,19.086910072435856,19.362297176272182,19.70968876670191,20.030767856835876,20.241292682016706,20.442057954081715,20.710706744504726,21.03428724383847,21.304910113329353,21.41813714578084,21.665172595571217,21.955800741172826,22.15598449387155,22.47226857445144,22.776071300721583,23.0186096934591,23.21961168979993,23.430274395289622,23.782729195982643,24.124113145868048,24.431937759081404,24.688478346932722,24.973472869110857,25.284277770196322,25.586867310252234,25.85618244937641,26.118293804542372,26.41355737709992,26.754691353001732,27.0376019502983,27.30456424184483,27.606780333734775,28.043607743913793,28.351430691225023,28.666804523836678,28.932974454009834,29.269786348555545,29.71444523221869,30.22380200637059,30.555934219953226,30.815383841166,31.05232412199416,31.290741372184236,31.656917234501854,31.78638456361164,32.18348329569276,32.50452064206211,32.89243348581907,33.28129560916993,33.68025261037459,34.115653027248605,34.5359852792218,34.89159354867641,35.093967316065026,35.2953630558776,35.33897377222813,35.17333991154956,34.75801167095852,34.07793434570365,33.636564622649345,33.19056412787395,32.58254846648333,31.90306441865423,31.147992556489626,30.093823696164105,29.12694815363814,28.141793193483895,27.259596472847406,25.77572738190652,24.4701029155059,23.29307235133642,21.055390388315825
attar2014investigating_plastic_b_2_tuff,35,0.07518290969152576,0.3018860745413693,0.5377279513310698,0.7761015087755518,1.0192346784689703,1.2596748905088333,1.509504320391094,1.7545617616534226,1.9941528346541557,2.2359016703592567,2.4868879962420407,2.7422929088312435,2.9976278936660536,3.2449867695331878,3.470557314339778,3.6998980534637673,3.94660158825632,4.179718006659717,4.411211977347157,4.651581029380935,4.892220773938344,5.1444980713789565,5.39654029729351,5.639935604866292,5.889789744960922,6.1131019605177235,6.320158017821085,6.57593266510704,6.840980254456387,7.039610569586152,7.28528416966123,7.552737755126526,7.793640367764152,8.034542980401778,8.275445593039404,8.50499704131401,8.726009093171838,8.978223965988935,9.225579973900105,9.479958656227536,9.72808615033325,9.983827588881534,10.215389042482592,10.422029492909797,10.705674376844552,10.925745537419262,11.141545434292935,11.385596452570509,11.673880801571856,11.915736699353587,12.181725676676642,12.399187570490774,12.685680367364458,12.872655472319524,13.087439960882566,13.304866902596936,13.545235954630714,13.792587711492482,14.064526185177119,14.335174269531908,14.61032458875515,14.885518067967606,15.1537926671312,15.39682952218422,15.64275968293687,15.914158066420818,16.16134280981824,16.40491322547511,16.616603123416102,16.82173694528755,17.005406753825344,17.22691278612578,17.50198719546388,17.74892277931063,18.058786190088604,18.383967414983648,18.637785294900375,18.921815767919814,19.20068814491014,19.48012813418408,19.762636686707765,20.031929702334708,20.28459012806433,20.567022194699152,20.815651171707273,21.144869366238872,21.35822835189005,21.69391218312902,21.944161456105995,22.1925339171975,22.440906378289007,22.711450696142936,22.986926598647038,23.235832620342393,23.484883442860518,23.78242926534774,23.984879641126344,24.32165991137896,24.72599174406211,24.9446132493804,25.19234990423312,25.443390168343868,25.737260460879014,26.046295715171976,26.30786701151852,26.559974396836967,26.852688837586996,27.121467874706607,27.445833724349473,27.8112831333469,28.202338233926177,28.596469464454007,28.946261627973126,29.316917030998233,29.683131705138624,29.961297017050946,30.43840730962625,30.774934972811778,31.056357467944604,31.376943302627232,31.690100073352042,31.991032197550823,32.443615733121405,32.80911493182147,33.096357819622106,33.480483485760494,33.81688257561423,34.146854057639274,34.49322906702624,34.867115508376884,35.033781402048376,35.131685109595026,35.160008755526334,35.085859592615485,34.92431051721735,34.64342696608262,34.06167238854913,33.615086778895176,33.07788652801921,32.31757742994351,31.10491593899235,30.27030589079961,29.261996781832785,28.25728546146653,27.023322569728016,25.642921167656915,24.280360591260933,23.15735297428008,21.708625832017646,20.67910154824383
attar2014investigating_plastic_b_3_tuff,35,0.11876982998541087,0.3847786961876414,0.6435152521891514,0.8921292870855563,1.1420502802816181,1.3902919997614422,1.6447636840247528,1.8913389163328875,2.149885609825456,2.394227890473287,2.6512688473845616,2.906052939632523,3.1598325755478207,3.4008807143369513,3.642092821163758,3.87850571639915,4.116888827112796,4.357321187076079,4.609567833438056,4.874586401617965,5.114520063007759,5.33124043145923,5.547906845496702,5.770056084618386,5.987017537290005,6.2013058055295245,6.4192015411730186,6.6706333931243735,6.940857342006194,7.1938081466288315,7.4380710461973045,7.71501048168083,7.967773971803521,8.194809395435657,8.456322806638353,8.612547164735084,8.812617504670186,9.072243532972886,9.296581319907379,9.563723804062993,9.834932707200863,10.124962941450518,10.369225841018991,10.613488740587464,10.86232127576547,11.130850941126294,11.36597176603564,11.554171520575034,11.75799807540273,11.997472167311052,12.227303097014312,12.46966264931342,12.688794921859769,13.00490834917796,13.231287749420723,13.47428175080962,13.717275752198518,13.98601020965299,14.193201588343463,14.429961510845626,14.658248923063876,14.86270917389247,15.135617724603618,15.37797727690273,15.620336829201838,15.862696381500944,16.067706283719914,16.34310733696723,16.550135391797518,16.788071411140585,17.029796514349904,17.31472400036839,17.60363727352067,17.982257695966794,18.196892704979977,18.525320000646893,18.722668749532417,18.970864002370217,19.31434822883748,19.58727049654477,19.584116191293656,19.80401684777639,20.074691593663896,20.29001763626427,20.574687706991266,20.833598059011717,21.17905050714473,21.473233053351066,21.76854078863107,22.019838604794952,22.266004851632793,22.682242895454937,22.87825636754977,23.008937548715352,23.484622077235077,23.679151337498553,23.98028039945727,24.283732182994697,24.547645842138788,24.878417127900473,25.250225688814332,25.565111064507366,25.869999808884963,26.12251054662069,26.375021284356407,26.627532022092126,26.880042759827848,27.20118327437775,27.515346708864833,27.900292854974904,28.170388079723203,28.475951318957627,28.792170398852058,29.079491561022788,29.403183496475577,29.738622100945804,29.978667586468752,30.188530103930397,30.513566697239504,30.93172851601552,31.26182210120222,31.67296811331604,32.00264627642581,32.461842231807296,32.767519990488424,33.09613854229868,33.44125926012461,33.839066668957905,34.205211923332726,34.4420809284219,34.72818983994095,34.9826717817022,35.046630915302224,35.01030722483891,34.99143308461418,34.83151947789717,34.40911607996404,34.106702432819354,33.67452030217418,33.14651010423364,32.52301455784719,31.646032496398842,30.908050257057067,30.169393001557637,28.999773262712676,28.013261408253104,27.046384884795014,25.574366746885815,23.629603169630506,22.661766510826283
